SKU,Own_Brand_Retail_Price,Competitor_Retail_Price
SKU000001,405.14,436.2
SKU000002,282.68,285.03
SKU000003,408.11,435.99
SKU000004,616,646.04
SKU000005,387.18,352.93
SKU000006,286.29,305.63
SKU000007,286.83,277.5
SKU000008,576.01,567.16
SKU000009,63.27,57.08
SKU000010,226.63,238.36
SKU000011,126.23,125.4
SKU000012,737.72,802.58
SKU000013,83.02,79.38
SKU000014,648.94,648.43
SKU000015,525.86,516.51
SKU000016,459.42,486.26
SKU000017,598.95,603.22
SKU000018,298.25,295.86
SKU000019,359.55,391.68
SKU000020,205.08,200.07
SKU000021,472.14,471.2
SKU000022,737.08,745.06
SKU000023,669.66,609.91
SKU000024,536.27,539.11
SKU000025,708.04,684.79
SKU000026,704.33,725.49
SKU000027,586.79,603.65
SKU000028,306.09,319.03
SKU000029,341.18,334.3
SKU000030,717.27,660.58
SKU000031,507.37,501.2
SKU000032,634.17,640.79
SKU000033,104.26,94.35
SKU000034,165.76,167.33
SKU000035,269.62,264.19
SKU000036,157.12,156.44
SKU000037,764.46,734.39
SKU000038,189.62,189.32
SKU000039,470.46,506.39
SKU000040,81.82,86.53
SKU000041,119.8,122.58
SKU000042,215.36,220.81
SKU000043,684.1,738.2
SKU000044,614.88,612.38
SKU000045,517.68,521.75
SKU000046,655.83,703.07
SKU000047,703.24,739.07
SKU000048,359.83,355.01
SKU000049,270.97,260.42
SKU000050,248.59,249.48
SKU000051,41.09,37.97
SKU000052,223.91,231.99
SKU000053,273.94,271.99
SKU000054,43.79,44.62
SKU000055,719.81,769.65
SKU000056,668.77,649.55
SKU000057,190.11,190
SKU000058,641.85,649
SKU000059,611.87,584.97
SKU000060,238.46,227.72
SKU000061,489.48,492.05
SKU000062,266.66,253.71
SKU000063,64.34,68.99
SKU000064,379.57,417.14
SKU000065,315.36,297.12
SKU000066,128.41,130.34
SKU000067,405.72,376.94
SKU000068,705.31,660.96
SKU000069,591.51,622.97
SKU000070,521.74,490.4
SKU000071,604.95,635.08
SKU000072,491.95,482.51
SKU000073,27.38,27.27
SKU000074,760.42,723.83
SKU000075,694.77,701.58
SKU000076,227.44,219.78
SKU000077,416.7,389.58
SKU000078,510.12,473.3
SKU000079,129.84,142.82
SKU000080,191.89,185.97
SKU000081,31.09,32.99
SKU000082,705.07,682.7
SKU000083,30.68,31.43
SKU000084,270.07,288.5
SKU000085,69.31,72.03
SKU000086,533.88,487.87
SKU000087,762.76,715.89
SKU000088,395.18,424.71
SKU000089,111.04,110.4
SKU000090,392.25,399.97
SKU000091,639.26,578.46
SKU000092,525.78,524.45
SKU000093,593.78,585.57
SKU000094,205.29,212.93
SKU000095,68.77,65.67
SKU000096,123.53,129.56
SKU000097,761.5,787.53
SKU000098,465.24,466.14
SKU000099,595.08,580.28
SKU000100,640.56,615.19
SKU000101,708.98,713.96
SKU000102,179.04,181.79
SKU000103,58.53,57.92
SKU000104,737.75,711.28
SKU000105,854.86,919.81
SKU000106,445.48,428.57
SKU000107,701.55,725.71
SKU000108,194.35,210.09
SKU000109,99.7,102.63
SKU000110,349.48,340.11
SKU000111,642,615.96
SKU000112,528.74,566.11
SKU000113,476.5,475.54
SKU000114,32.03,32.63
SKU000115,238.38,242.97
SKU000116,647.43,651.81
SKU000117,112.79,122.52
SKU000118,531.24,577.04
SKU000119,611.49,555.28
SKU000120,578.27,578.93
SKU000121,723.59,733.08
SKU000122,354.91,385.12
SKU000123,520.22,475.45
SKU000124,165,174.54
SKU000125,333.15,342.64
SKU000126,359.53,376.25
SKU000127,169.42,162.36
SKU000128,645.62,677.46
SKU000129,593.44,567.65
SKU000130,237.08,245.41
SKU000131,110.66,117.01
SKU000132,209.41,221.28
SKU000133,456.85,460.9
SKU000134,622.24,611.48
SKU000135,411.26,390.17
SKU000136,84.84,76.92
SKU000137,190.25,173.09
SKU000138,278.78,274.24
SKU000139,527.76,485
SKU000140,228.08,210.38
SKU000141,187.83,176.36
SKU000142,234.27,233.39
SKU000143,432.17,440.1
SKU000144,422.19,438.59
SKU000145,597.32,595.67
SKU000146,580.78,599.92
SKU000147,491.67,527.28
SKU000148,120.38,117.35
SKU000149,57.26,59.42
SKU000150,374.43,386.3
SKU000151,69.27,71.16
SKU000152,285.57,290.34
SKU000153,34.34,35.89
SKU000154,155.22,165.11
SKU000155,100.1,97.94
SKU000156,592.29,610.62
SKU000157,270.68,257.07
SKU000158,69.99,73.57
SKU000159,207.51,223.3
SKU000160,586.82,617.51
SKU000161,542.45,541.48
SKU000162,106.68,98.86
SKU000163,589.54,633.53
SKU000164,307.01,326.33
SKU000165,564.57,586.93
SKU000166,475,508.39
SKU000167,601.74,605.71
SKU000168,550.9,604.97
SKU000169,44.69,47.7
SKU000170,400.9,373.93
SKU000171,142.39,139.6
SKU000172,744.77,695.64
SKU000173,220.56,208.4
SKU000174,343.72,343.79
SKU000175,167.94,163.28
SKU000176,111.21,120.32
SKU000177,478.81,430.94
SKU000178,383.68,346.11
SKU000179,270.19,292.91
SKU000180,81.37,77.12
SKU000181,532.51,479.52
SKU000182,17.77,17.55
SKU000183,355.13,333.51
SKU000184,451.56,411.22
SKU000185,333.88,335.91
SKU000186,112.54,104.44
SKU000187,541.74,578.24
SKU000188,273.13,262.32
SKU000189,105.13,99.28
SKU000190,402.23,421.52
SKU000191,30.25,32.36
SKU000192,257.47,236.52
SKU000193,562.44,523.25
SKU000194,617.08,613.94
SKU000195,514.26,523.54
SKU000196,186.79,171.22
SKU000197,175.75,171.36
SKU000198,463.29,500.13
SKU000199,297.7,320.09
SKU000200,158.92,152.92
SKU000201,547.54,517.69
SKU000202,172.96,175.82
SKU000203,262.46,241.26
SKU000204,54.74,51.82
SKU000205,485.5,453.14
SKU000206,231.16,217.65
SKU000207,174.66,164.7
SKU000208,227.05,232.84
SKU000209,700.12,698.46
SKU000210,370.36,397.2
SKU000211,139.48,146.05
SKU000212,615.19,615.05
SKU000213,170.16,163.61
SKU000214,337.27,359.66
SKU000215,443.95,406.62
SKU000216,425.48,440.88
SKU000217,69.18,63.83
SKU000218,632.49,636.64
SKU000219,371.53,401.37
SKU000220,806.09,763.86
SKU000221,538.72,493.31
SKU000222,801.77,776.03
SKU000223,380.61,378.95
SKU000224,128.99,134.79
SKU000225,605.12,548.21
SKU000226,572.08,529.85
SKU000227,672.2,660.2
SKU000228,233.38,214.48
SKU000229,392.45,428.23
SKU000230,686.4,687.91
SKU000231,622.04,606.73
SKU000232,35.29,38.68
SKU000233,478.28,492.25
SKU000234,487.94,489.48
SKU000235,73.74,69.92
SKU000236,753.93,716.7
SKU000237,368.97,358.81
SKU000238,518.96,544.98
SKU000239,724.82,770.63
SKU000240,110.55,103.74
SKU000241,595.65,633.46
SKU000242,527.22,509.39
SKU000243,586.02,550.89
SKU000244,415.69,390.31
SKU000245,42.24,41.93
SKU000246,502.49,529.34
SKU000247,268.58,272.38
SKU000248,334.85,332.48
SKU000249,331.33,299.39
SKU000250,356.31,360.84
SKU000251,516.19,534.23
SKU000252,606.58,557.82
SKU000253,618.16,674.56
SKU000254,535.71,491.95
SKU000255,561.17,582.57
SKU000256,117.08,117.65
SKU000257,572.19,616.16
SKU000258,277.64,272.87
SKU000259,357.23,357.84
SKU000260,352.47,356.2
SKU000261,398.67,428.56
SKU000262,196.22,207.98
SKU000263,147.84,141.34
SKU000264,89.64,97.8
SKU000265,334.79,351.74
SKU000266,113.1,102.06
SKU000267,222.78,208.69
SKU000268,118.16,126.57
SKU000269,95.15,97.93
SKU000270,625.9,595.62
SKU000271,520.4,486.2
SKU000272,659.06,612.5
SKU000273,495.51,477.48
SKU000274,620.39,669.84
SKU000275,421.42,408.95
SKU000276,383.56,395.89
SKU000277,454.76,419.43
SKU000278,221.81,223.2
SKU000279,544.01,526.91
SKU000280,649.94,605.81
SKU000281,575.14,609.39
SKU000282,334.74,355.86
SKU000283,744.92,716.06
SKU000284,715.11,737.1
SKU000285,439.96,430.64
SKU000286,626,568.97
SKU000287,19.1,18.82
SKU000288,64.81,65.79
SKU000289,31.89,30.61
SKU000290,598.46,652.19
SKU000291,81.08,82.02
SKU000292,30.04,29.27
SKU000293,142.09,148.77
SKU000294,248.12,240.23
SKU000295,328.09,296.9
SKU000296,57.98,52.28
SKU000297,386.47,371.16
SKU000298,178.49,166.21
SKU000299,220.35,213.85
SKU000300,664.24,700.06
SKU000301,863.78,830.79
SKU000302,365.19,369.55
SKU000303,268.46,290.99
SKU000304,752.18,782.01
SKU000305,385.89,390.66
SKU000306,547.94,588.16
SKU000307,343.45,331.82
SKU000308,166.81,156.73
SKU000309,453.95,476.39
SKU000310,503.62,459.18
SKU000311,410,403.78
SKU000312,194.54,186.26
SKU000313,644.46,705.21
SKU000314,236.25,230.44
SKU000315,493.23,509.35
SKU000316,294,280.39
SKU000317,340.92,373.86
SKU000318,170.14,159.26
SKU000319,508.25,549.59
SKU000320,187.66,185.61
SKU000321,430.49,424.23
SKU000322,247,256.94
SKU000323,664.47,610.42
SKU000324,864.55,872.62
SKU000325,528.38,498.79
SKU000326,854.56,795.96
SKU000327,103.29,111.09
SKU000328,674.33,741.4
SKU000329,93.45,102.26
SKU000330,314.54,334.74
SKU000331,192.36,208.52
SKU000332,737.2,799.75
SKU000333,514.41,481.11
SKU000334,490.55,449.9
SKU000335,714.46,661.13
SKU000336,486.84,453.99
SKU000337,524.31,558.12
SKU000338,52.6,57.24
SKU000339,594.19,576.58
SKU000340,717.16,650.37
SKU000341,685.69,659.29
SKU000342,175.5,182.74
SKU000343,174.88,190.37
SKU000344,266.1,263.42
SKU000345,277.19,268.1
SKU000346,236.02,243.25
SKU000347,453.42,427.22
SKU000348,541.48,570.27
SKU000349,670.26,658.74
SKU000350,63.35,69.4
SKU000351,231.64,251.75
SKU000352,205.19,211.98
SKU000353,320.33,329.81
SKU000354,303.2,280.35
SKU000355,326.3,312
SKU000356,695.42,745.76
SKU000357,315.04,306.41
SKU000358,431.19,424.65
SKU000359,522.33,557.83
SKU000360,599.86,591.09
